"CompoundID","PathLengthFingerprints"
"Vidarabine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1010000100000000011000001111010100010100000100001001000000110000000000001000001000000001001000000000000010000010000000001000000010001001000100010000101010100011100000000000000000000001101000000000000100000000000000000001100101100000110011001000010100000001010110010110000110000000010010010000000000011000000000000000001100001000100000000001011001011000010000000011000010000100000100101100010000000110100000100001000000111100000100000000100000010100000000010000010101001100000000010000000100001000100000100101000000000000011000001001000011000011000000100100111000110000011000100100000000000000010110100100000000000100001010000001110001001000000101000000000000001000000000011000000100001010010010000110011010001000000110000000000010001101000000000000000000001100000101100001001010100001000010000010000010001000010000010100001000001000100010000100000000000000000000010001110001101100010010000000000000000000000010000110010000000010011010000100000111010000000111001010100000010011000001001000000000000100001010000101010000000010"
"Testosterone","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000101000000110000001000000010000000010001000000000000000000000010000000000000001000000000010010000000000000000000000010001001000110000000100000000011000000000000000000010000000000101000000000000001001010000010000000100010000001000000000000000000000000000100100000000000101010100000000000000000000000010000000000000000000000000000000100010000000000000000000001000000000000000000100000010001000000000000100011001000000110010001000000000000000000000000000000000000001000000001000000000000000000010000000000000000000000000000100000000100000000100100000010000100000000000000000000000000000000000000000100000000000000100000000000000000000000000000000000000110000001001001000000000010000000000000000000001000010000010000000000000101000001001000000000100000000000000000000000010000000000000000000010000001000000000100000100010010000000000000100000000000100100000001010000000000000000000000000000000000001000000000000000000000000000000000001000000001000100000000000000010000000000000000000000000000000100001000000000000010"
"Quingestanol_acetate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100000001000000010100000000001000000000000000000001000000000000010001000000000000010000100000000010000000010001011000010001000100000000011010000000000000000010000000000000000000000000000001000000000000100100010000101000010100000000000000000000100000000000000001011000000000000000000000100010000000000000000000000000000000000010100000000000000000011000000001000010000000000010000000000000000000000011100000100010001000000000000000000000000000000000000000000000000000000000000001000000000000000000000000000101000010000000100000000000100100011000110000000000000000000000000001000000000000100100000001000000000000000000100000000000000000000000010000000001001001010010010000000000000000000001000000000010000000000000100000001001000000000000100000001000000000000100001000000010000001010000001000000001110000010000000000000000000000000000000100100000000010000000000000000000000000000000000000001000000010100000000000000000001001000000001000000000000000000010010000100100001000000000000000000001000000000000010"
"Triamcinolone_acetonide_phosphate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100100011010000110000011000001000000000000000100100000000110000000001010010000000010000000100000000000000011001001000110000000100000000011000000000110000000010001000000001000000000000000100010000000000100101010100001001000000010000000010010000110000010000000101010100100000100000000000000010000000000001000000000000000010110011010010100000011000101000010000000000000001000010000000000000000000000001000000110010001000000000000000000010000010010000000000000000000000000100000000010100000001000000000100000000001000000000100000000100100000010010000100100000000000000000000000010000000000100000010010000000000010000100000000001000000000000000000000000011001000000010010000000000000000000001000010110000010010000000111000001001000000000000000000000100001001000000000000000000010000000000000000000010100001001010000000010000000000001000000100110000000010000100000000010000000000010000000000000110000010100000000001000000000011000001001000000001000101000011000000000000001000000000000001000100000000000010010"
"Stirofos","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000001000000000001010000000000000000100000000010100001001000000000000000000000000000000010000000000100011000000000000010000000000000000000000000000000000000000000000000100010000000010001000000000000000000101000000001010100100000000010000100000100000000000101000000110001000000000000000000000000000001100000000000000000000000000000000010000000000000000010000000001000000100001100001000000000000000000000000001000000000000001000000000000100000000000000100010010000010000000001000000000000000000000000000110000001000000000001000000000000000001000000001100000000000000000000000000000001000000000101000000100000000000000000000100000010000000000000000000000000000000101000010001000000000000010000000000000100000100010000000000000000000000100000001000000000000101000000001100001000000100000000000000000000010000000010000000010001000000110000000000000100000000000100000000011000010001000000000000000000000000000011000000000000000000000100000000000000000000000000100001000001100000000000000000000001100000000011000000000001000000001"
"Benphothiamine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000001100001010100100100100000100000111010000001110011001010000001000000100001000000010000000010010000011000010001000000010001000000000010000010010100011000000000000000110010100101010000100000100000011000000100111001100000000010011000000000000000000000001000100000001000100000000000010000001001000000000010000101000001000000000001000000000001001010000000011000101000100100100000001000100000000001000000000000000100000000000000010000010010010000000010000000001101000001000010000110000110000100000100000101000000000011010000000000010100000000000100100100100110001000000100000010000000000000010000010100000000000000000100001010000000000100000100010010000001110000001001000000000001010100010001001000111000000000110000000000000000100000101100010000000100000001000100001000001010000001000000000000000100000000000000000000100000010000000000000110000000000100000000001000010000100000000010000000000100100001010000000000000100010011010000100010011001010100110101000101000010001001000000000100100000110001000000000100000000000"
"Tamoxifen","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000010000100010000000000010100000010100001000000000000000001000000000000001001000000000000010010000000010000000000000001000001000000000000000000001000000000000000010000000100000000000000000000000000000000011000000000000000000000010000000000000000000000100000000000000000110000000000000011000000000010000000000000000100000000000000000000000001000000000000000000000101000000000000000000000000000000000100000100000000000000000000000000000001100000010000100000000001000000001000000000000000000010000001000000000000000001000000000000000000000100100000000001000000000000000011000000001000000000010000000000000000000100001000000000000000000000000100000000100000000101000000000001110010000000000000000000000000010000000000000000100100001000000000000100000000010100010000100010100000100001000000000000000000000000000000000000010000000000000100000000000100000000101000000000010000000000000000000011000001000000000000000000000000000000000001000000001100100000000000001000000000000000000001001000000000100001000000000000000"
"Fostriecin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100000000000000000100000010000000100000100001001010000000000000000100000000000000010001000000000000011000000000000010000000010001001000000000000110000000011010000000100000000010001000000000000000000000000101000000000000100100010110000001000000001000000001000000110000000000000101011000000000001010000000000010010000000101000000010000010000000011001010000000001000001000000000000000000000000010000000000000100000000000100000010011001000010000000000000010000010000000000000000000000000000100000001000100000000000000000000000010010000000000000000000100100001001010100000000000100000000000000000000000000000100000000000000010000011000001000000001000010000000000010000000001010000000000010000001010100000000000000100100000000000100000100010001001000000100000100000000100001100000000000000000111000000010000001001000000000000010010000001000000000010000000000100100001010010000000000000000000000000000100000000000000000000000110000000000000000000000000000000000101000100000000001000000000000000000000000001001101000000000000010"
"Fluocortolone","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100100000010000010000010000001000000100000000000000000000100000000001010010000000010000000000000000000000010001001000100000000100000000011000000000110000000010000000000001001100000000000100000000000000000100010000000001000000000000000000000000100000000000000101000100000000100000000000000010000000000000000000000000000000110010010000100000010000101000010000000000000001000010000000000000000000000000000000110010001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010000000000100000010000000000000000000000000000000000000000000000000000100001000000000010010000000000000000000000000010000000000000000000101000001001000000000000000000000000000000000000000000000000000000000000000000000010000000001010000000000010000000000000000101100000000000000000000000000000000000000000000000000010000000000000000000000000000001000000001000000000000000000000000000100000100000000000000000000100000000000000000"
"Sulbactam_pivoxil","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100000001100001000000000100100000000000000010000001000000000001000100000000010000100001000000000000010000000001110001000100010001000000100000000001000100011000000000010001001000100000000000110000000101000001010100101000110000000000000000000101000000010000001000100100001000000000011100000000000000000000010000000000000000000000000000000010001010010000000000000100100010000000101000100000000100100000000000000000000111000010000100010100000000000100000100000000010000000000000000000000001000000000000000000000001000000110000000000000000000110000000010100101000000000000000000000000000101000000000000110000000100000000110000001000000100000010000111010100110000010000000001000100000001010010010001010000000010000010010001000000100000111000110010010000001000001000000000011000100100010000100000010000000100000000000000010001000010100000000000000000001010000000001000000010010001000001000000100000000000000000000100000010100000010010100000001000000010010100000001100000100000101000100000001100000000110000000001110100000010000"
"Alemcinal","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100000000000000010000000000001001000001000000101000000100000000110001000000000000010000100000001000000000011001001000110001000100000000011000000000100000000010000000000001000000000000000101010000001000000101010100101000000100010000000010001000100000010000000001010100000001000000000000100010001000000000000000000000000001100010000000000000000000001001000000000101000000000010000000000000000000000111000000101010101000010000000000010000000010010000000000000000001000000000000000010000000001000000000100000000011000000000110000000000100000010100110001000000000000000000000000000010010000100000000100000000001001100100000000001001000000000000010000000011001000110011010010000010000000000001000001010010000110000000111011001001100000000000000100001000001001000100000000001010000000010001001000000000110010010001000000000001000010001010000100100010000010000101000000000000000000000010010000001110000010100000000000010000000001000000001000000100000000000011011000000101001000000000010000000001001000000010110"
"Lobeline","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100100000000000000000000000010000010010000000010001001001000000000000000000000000000000001001000000000010000000000000000000000010001001000100000000100000000011000000000000000010000000000000001000000000000100000000000011000000000000000000000000100000000000000001000100000000000000001000100000000000000000000000000000000000000000000000000000000110010000000000000001000000000000000100000000000000000000000000000000100000100000000000000101000001000000000010000000000000100000001000000001000000000000000000010000001000000000000000010000000000001001000000100000000000000000000000000000010000000000000000000010000000000000000000100001000000000000000000000000000000000100000000001000000000000010000000000000000000000000010100000000000100000101000000100000000000100000000010000000000000110000000000000000000000000000000000000000000000001010000000000001100000000000000100000001000000001000000000000000000000000110001000000000010000000010110000000000001000000001000100000000001000000001000000000000000001000010001100000000000000000001"
"Loracarbef","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000010000000000000101000001000010000000000011000011000001000000000000100010100001000001001000000000010000000000110011001000010011000000100001000100000000111000000000001000000010000000000001101000100100000000010001011101100110001000010000000000001000000000001001100100010000000111101100000000000101000000110010000001000000000000001000010000100010010000000000010000100000100000000000011001000010100000000000000100001100000000010000111000000000000000110010100000011001000011000101001100000000110100000010000100100100010001000010000100000100000000000110110000100110000000000000000000000100000000010000010010100001000100000100001000000000000010000110000000000010100000000011000000000001010110000001001100000010000010000001000000100000101000001011100000000101010011000000100000000110000010010000000000001100000000000000000000011011111000000000000100010010000101100000011000010001000010000100000000000001000001000000000000100000000010001000101000000000010000100000000001000000000000000000000000000000110000100001000000111000010"
"Clobetasone","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100000000010000010000010000001000000000000000000000000000110000000001010010000000010100000000000011000000010001001000100000000100000000011000000000010000000010000000000001100000000000000000000000000000001100010000001001000000000000000000000000100000000000000101000100000000100000000000000010000000000000000000000000000000110010010000100000010000101000010000000000000000000010000000000000000000000000000000010010001000000000000000100000000000000000000000000001000000000100000000000000100000000000001000000000000100000000000000000000010000000000000100100000000010000100000000000000000000100000010000000000000000010000000000000000000000000000000000000001000000000000010000000000000000000000000010000000000000000000101000001001000000000000000010001000000001000000000000000000000000000000000000000010000000000010000000010000000000010000000100100000000000000000000010000000000000000000000000000000000000000000000000000000100001000001001000000001000001000000000000000000000000000000000000000100000000000000000"
"Estradiol_cypionate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000000000000000010001000000010000000010001000000000000000010000001001000000000001000000100000010000000000010000000000010001001000110000000100000000011000000000000000010000000100000001000000000000000001000000010000000000000000001000000000001000000000001000100000000000000000010100000000000010000000000000000000000000000000000000000000110010000001000000000000000010000001000000000000000100000000000000000100000001000000000000001000000000000000000000000000100000000001000000001000100000000000001010000000000000000000000000000000000000101000000100100000010000000000000000000010000000000000000000000000000000000000000100000000000000000000000000000010000000110000100001001000000000010000000000000000001001000000000010000000000000101000000000000000000101000000010000000000100010000000100000000000010000001000000000100000000000010000000000000100000000000001100000001010000000000000000100000000000000000001000000000000000000010000000000000001000000001000100000000000000010000000010000000000001000000000100001000000000000010"
"Cilobamine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000000000000001000001000010010000000010000001001000000000000000000010000000000001001000000000010000000000100010000000000001001000000000000100000000001000000000000010010000000000000001000000000000100000000000011000000000000010001000000100000000000000001000110000000000000000000000000000000000000000000010000000000000000000000000000000010010000000000000011000000000000001000000000000010000000000000000000100000100000000000000101100000000000000110000100000000000000001000000001000000000000000000010000000000000000000000010000000000001001000000100000000000000000000000010000011000000000000010000110000000000000000000100001000000000000000000000000000000010100000000001000000001001010010000000000100000000000000000000000000000000100000000000000000000101010001010000001000000110000000100000000000000000000000000000000000000001010000000000000100100010000000100000001000000001000000000000000000000000000001000000000000000000010010000000000001000000001000100000000000000000000000000000000001001000010001100000000001001000001"
"Sitagliptin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000101000001000010000100000001110010000000000010000001100001000000001000000010001001000001000011000100110001000000010000000100010001100000100000000100000100010000000100011100010001000110001100000000100000000000000000011000100000000101000100001000100000001000001000100000000000000001001101001010100000000000100000000000000000010000000000000000010010010000000100000010100000100000001000011001000100010111111000000100010100100001000000111100000000000100010000100000100000100111010010001100000000010000000010000000000000010100000100000010000100101000000100010000000010100011010100100010000000000000000100011000001000100000010100001000010000001000001100000000000010100010000001000001000010001000000001100000000001000100000000001000010000101000000000000000010101011000010001000000000111010100010010001000000001000000100000000001000001110000000000000100000000000000001010001000010011010100000000000000010000000001010000000000100000010110000000100011010000000010100000010000100000000000000000001000001000011101100010000000000000000"
"Doxibetasol","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100000000010000010000010000001000000000000000000100000000110000000001010010000000010000000000000000000000010001001000100000000100000000011000000000110000000010000000000001000000000000000100000000000000000100010000001001000000000000000000000000100000000000000101000100000000100000000000000010000000000000000000000000000000110010010000100000010000101000010000000000000000000010000000000000000000000000000000110010001000000000000000000000000000000000000000000000000000000100000000000000000000000000000000000000000000000000000000000000000000000000000100100000000000000000000000010000000000100000010000000000000000000000000000001000000000000000000000000001000000000010010000000000000000000000000010000000000000000000101000001001000000000000000000000000000000000000000000000000000000000000000000000010000000001010000000010000000000000000000100100000000000000000000000000000000000000000000000000010000000000000000000000000000001000001001000000001000001000000000000000000000000000000000000000100000000000000000"
"Fazadinium","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1000100000001010000010000000010100100000001000010010010100011100001000011000000000010000000010101000100000000100100011100000000000000100100110000000000110100001010000001000000100000000100100010000101000000001000000000011000001011001010111000000000000000000001001100000000000101010000101000001001000000000000010000010000110000101001000000000010000000001000000001010001000000100000000000000000101000011001011100001001000110000000101100001010000000000000000010110000001000000001001011000000000000100000001001000001000000000000000101000000000000001000100100000010011010010000000101000110011000000000000100100000000000100010000110001010010000000010001000100100000000110000000001000000001101100100000011001000000001011111100000000000000010100000001000001000010110110010110001000000010000001100000010110000000010000100000000000000101001011000010001001100000010000111000000001001000010100000001000000001001001100111001000001000000001011100010100110000100001100110100010001000000000000000000100100001001011100101000000000000110000000"
"Protokylol","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1000000000000000010000001010001000000000000000010100001001000000000000001100010000000000001000000100000010000000000110000000000000001001000000001000000000000000000000000000100010000000100000000000010000000100000000000011000000000000000000000010000000000000000001000100000000000000000000000000000000010000000000000001001000000001000000000000000000000010001000000010000000010000001000000000000000000000000000000000100000100000000000000000000010000001000000000100000110000000001000110001000000000000010001010000000000000000100000000000000000001000000000100100000000001000000100000000010000000000000010000010000000000010000000100001001000100000000000000000000000010100000000101000000000001010010000000000000001000000010000000000000000000100100000000000000000100010001010000000000100110000000100000000000000000000000000000000000000000010000000000000100000010000000000000001000000001000000000000000000000001010001000000000000000000000000000010000000000000000100100000000000000000000000000000000000001000010001100000000000001000001"
"Methylprednisolone_aceponate","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000001000000100000001000000010000010000001000000000000000000000000000100000000001010000100000010000000000000000000000010001001000110000000100000000011000000000110000000010000000000001100000000000000101000000000000000100010100001000000000010000000010000000100000000000000101010100000001000000000000000010000000000000000000000000000000110010000000000000010000101000010000000000000000000010000000000000000000000001000000110010001000000000000000000000000000000000000000000000000000000100000000010001000000000000000000000000000000000000100000000000100000010000000000000000000000000000000000010010000000100000000000000000000000000000000000001000000000000000010000000001001000000010010000000000100000000001000011000010000000000000101000001001000000000000000000000000000000000000000000000000000000010000001000000000100000001010000000000000000000000000000100100000000010000100000000000000000000000010000000000010000000000000000000000000000001000000001000000000000000000010000000000000000000000000000000000101000000000000010"
"Raclopride","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000000010001000010000000000010000001001100000010000000100000000001000011110000000000000000000000010010001001010001000000000000000100000000010000000000000010000010000100000001000001000000000001000000011000000000000010000000010000000000000000001000110100000000000000000100010000000001000000100000000000000000100000000000000000000010000001000000000000110000100000100000000000000000100100010000010001000100000000000000110001010000000000110000000000100100000001000001000000000000000000000010000001000000000001000000000000000000000000000100100000000101000001000000010001000000000000000000010000000100000000000100001000000000000000000000010000000000100001000101000001000000010000000000001000000001000000000000000000000000100100000111000000000101000000000010100000000100000000101000000000000000000110000000000000000101010000000000010100000000000000000000101000010001010000000000000000000001100001000000000000000000001010000000000000000000100000100000000010000000000000010000000001000000010000000100000001000000000"
"Clotixamide","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000001000100000000010000010100000010100001000000000000000000100000000001001000000000000010000010000000000010000000110001000001100000000000000000011010000000000010000000000000100000100100000000000000000000011001000000000010000000000010011000000000001010110010010000000000100000000000000001000000100010000000000000000000000000000000010010000000000000000110000000100100000000001000000100000110000100000100000100000000000100010000000000000000100010010000000000000011000000001000000000000000000010000001101000000000000110000000000000110000001100100100000100000000001000000001000000101001000000010000000000000000000100001100000000000000000000000000000010100000000001000100001000000000110001000000000100000000000000001010110000101100001100000000001100000000000100100000000110100001000001000000000000000000000000100001000000010000000000000100000000001100000010101000010001000000000000000000001000000001000000000000100000010100000000001000000000100000100000000000000000000000001000000001001001010000100000000001000000000"
"Rapacuronium","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000000000000000000001000010010000000000000001001100000000000001000000000000000001001000000100010000000000000000000000010001001000110000010100000000011001000000000000000000001000000001000000010000000001000000001000000000000000001000000000000000010000001100100000000000000000010000000000000000100100000010000000010000000000000000000000000010010000000000001000000000000000000000000000000000010000000000000000000101000000000000100000000000000000010000000000000000000000000000000000000000000000000000000000011100000000000010000000000000100000000000100000010000000000000010000000000000000000010000010000000000000000000000001000000000000000000000000000000000010000000001001000000001010010000000000000000001000010010010000000000000101000001000000000000000000000000000010000000100000000000000000000010000001000000000100000000001000000000000000001000010000100101000000010000001000000000000000000000000000000000000000000000000010010000000000001000100001000000000000001000010000000000000000000000000010000000001000000000000010"
"Atropine_n-oxide","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000100000000000000000000010010000000010000001001000000000000000010000000000000001001000000000010000000000000000000000010101001000010000000100100000011000000000000000000000000000000101000000000000001001010000011000000001000100000000000000000000000010001000100100000000000001010000000000000000000000000010001000001000000000000000000000000010000000000000001000010000000000000000000100000000001000000000000100011101000010100000100000000000100000000000010000000000001001000000001000000000000000010010000000000000000000000010000100000000110000000100110000010000000000000000000100000000000000000000010000000000000000000100001100000000000000000000000000000000110000001001001000000000010000000000000000000001000001000010000000000000101001000001000000000100000000000000000000000110000010000000000000010000001000000000100000100001010000000000000100000000000000100000001010000001000000000000000000000001010001000000000000000000000010000000000001000100001000100000000000000010001000000001000000000000010000100001001000000000010"
"Cefovecin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000010011100001000100111101100110000001100111010001001101000010010110100010100001010011001000000000010010000001110011001011010111000010010000100100110100011011110000000000111000100001000101100000100100000111001100001001100010101000010000000100001000110101001000100000111000000101011000000000000100000001111010010000010100000110100000011010001110110000001000000100100110110001100001001010000110000000001001000100000111000010111101111111000001001000000010000000011111000111000100010100010101100110000000011101000000011111011111010100010000010000010010101110110110000100000000100000010101000000011000010000110000001000011100001000000000000010000111000101010010010100110011000100100011010110110001010100101011001110001011010000100011111000011011110000101010101010000000001000000101000010100011110000001101010001000001100010010010100001000000000000010110000100101000110110110011010000010100000000010000001000000100000010100000000010101000111000000011010100100000000100000011101001000000001100000101111001000101100000101000011"
"Hetacillin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000100010001100000000001010101000000000000000011010011000000000000100110100011100001000001101000010000010001000001110001001100010001000000001000100000000100111000000000000000001000100000000000100001000000000001010100111000110000000000000000000001010000010000001100100100011000000000001100000000000100000001110000000000100000000100000000000010001010010000000000010100100001110000001000000100000000100000000000000100001110000110000100010100010000000000010000100000010001000011000001011000000000000001000010001001100000000011001000000100010000110000000110000100000110000000000000000000000001000000000000010001000000000000111100001000000000000011000111010100000010110000000011000110000001010010010001011100100010010010000001000000100000111000010011010000001100011001000000100000000110000000100000110100000100010000000000000000000000010000000001000100010010000000000000001000010001000000000000110000000000000001000000000000100000000010100010001000000010110100100001100010100000001000010000000100000000110000100001010000001000000"
"Reboxetine","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000000000100000000000010011000000000000000010000001001000000000000000010000010000000001010000000000010000000000110000000000000001000000000000000000000000001000000000000000010000000100000100100010000000111000000000011000000000000000000100010110000000010000001000100000010000000001011000000000000000000000000000000000000000000000000000100000000000010101000000000000000000000000000000000100001000001000000001000100010100000000100000100000001001000000010000000010100100000001000000001100000000000000000010000000001100000100000000000000000001000000100100100000010001100001000000000010000000000000000000010000000000010010000100001011100000000000000001000000000000100100001111000000000011010010000000000010000000000000110000000000000000100101000000000000000100000000010000010000000110000000100010010100000000000000000000000000000001010000000000011100000000000000001000001010000001010000000000010000000001010001000000000010000000010000000000000001000000001000100000000000000000001000010001000001001000010001100000011000100000011"
"Demeclocycline","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000001001000001110010000000010010000100010001011001100000000010001001001000000010001001000101010011010000000110010000101110001001000100100000100010000011101000000110110011010000101000001001000010100100101000000011000100101110010111100100000101000000000001100110010000100000101000100100000000010000100000110000000110000110000001000111000110010100001000000001000001010010000100000000000010110000000000000101101000110000000110010111000110001000011111100000010110110000001000100001000100000111110101110000001000000100000000011011000001101001000000100000001010000110000000000000011010110000000000000010000100000000000000100001000100000000000001010000001000110100010100001000000101011110110001010000000000010000010000000000000000000101100001101000000010101001000110000000001111110110000100110000000000000001101010000110000011011111000000000000101000000000101101000111000010001000101010100000000000000111001000010000010000110010110000000000111000000001010101100000000000000001001010100000001001010010001100000000001000011001"
"Oxysonium","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0100000000000100000000000000000000000010000000010001000001000000000000000010100000000100001000000000000010000000000000000000000010001001000110000000100000000011000000000010000010000000000000101100000000000101001010100010000000000000000000000000001000000000000000000100100010000000000010100000000000000000000000000000000000000000000000000000000110010000000000000000000000000000000000000000100001000001000000000000100011001000000100000001000000000000010000000000010000000000001000000001000000000001000000010000000000000000010000000000100000001001000000100100100010000000001000000000010000000000000000000000000000000000000000100000000000000000000000000000000000000110000001001001000000000010000010000000000000001000000000000000000000000101000000000000000000100000000010000000000000010000000000000000000000000000000000000100000000000010000000000000100000000000000100000001010000000000000000000000000000000000001000000000000000000010000000000000001100001011000100000000000000000000000000000000000001100000001100001000000000000011"
"Beclometasone","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0000000100000001000010100000000000000010000010000001000000000000000000000000000100000000001010000000000010000000000000011000000010001001000100000000100000000011000000000110000000010000000000001100000000000000110000000000000000100010100001000000000000000000000000000100000000000000101000100000000010000000000000010000000000000000000001000000000110010000000000000010000101000010000000000000001000010000000000000000000000000000000110010001000000000000000100100000000000000000000000001000000000100000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000100000000010000000000100000000000000000000000000000000000001000000000000000000000000001000000000010010000000000000000000000000010001000000000000000101000001001000000000000000000001000000000000000000000000000000000000000000000000000000000001010000000000000000000000000000100110000000000000000000010000000000000000000000000000010000000000000000000000000000001000000001000000000000000000000000000000000000000001000000000000100000000000010000"
"Terconazole","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;0001001000000000000010001010101000100001100100010000011101000000001000010100110010001000110000000000000010001000001110010001010000001000000000000001000100000001000000000000100000100000101100000110010000000110100010000011000000000000100000100010110110000010010101001110000010100000000010000000000110010000000110000001000001000000100000010001110010010000001000000010000000000100000000000000000101000000010000000000100000100111000000000001000100001000000110000100010110000000001000010011010100000000010010010001000100000000100001000010000000001000000000100100000010111000001000101001001010000000010000010110000000000100110000100001001100101000000100001000000000010100100000111000000000000010010010000000010110111000000010000000000000000100100000000000000000101010000000001011001000110000000100010100100110000100010000000000010000000010000000000000100101010000100001010001010000001110001000000000101001011000001010100000110000000110100000100100001000000101010101000000000000000000000010001000101000000000001110000000001010000011"
"Enviomycin","FingerprintsBitVector;PathLengthBits:AtomicInvariantsAtomTypes:MinLength1:MaxLength8;1024;BinaryString;Ascending;1000100000000000000000000100001000010000000000011000001001101000011000000100000000001000001011100000000010001000000010000001000010001000000100000001100000000111000000000000000000000000000000000000000001100000000000010001001100001001000010000010010010000000000001101100000010100000101000100000000000000000100111001000000000000000000000000000000100010010000000000000000100101100000000000011000000000010000000000000001000100001000000100110001000010001000010000000100001101000010000011010100000000100000000000001100110001000001000010000000001000100000000000100000000110100000000000000010010001100000110000010001001001000000010000001010000000000010000001000001001000000000000001001010001001110010010001000000000011010010000001101000100101101000001110000010000101000000001100000000000100000010000100000100000000000000000000011100000001000000000000000000010010000100100000100000010011000000010000000000000010010000000010001001100000100010000010010000010000000000000000100011000100001000000000000000000000110000000000000000100000010"
